pass,route_or_section,viewport,final_url,h1,text_chars,h_overflow,axe_serious_critical,axe_moderate_minor,tap_under24,tap_under44,text_under12px,screenshot
anon,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,t768,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,339,False,button-namex1,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex1;page-has-heading-onex1;regionx3,,,2,
anon,/matches/00000000-0000-0000-0000-000000000000/live,t768,/matches/00000000-0000-0000-0000-000000000000/live,,285,False,button-namex1,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex1;page-has-heading-onex1;regionx3,,,1,
anon,/timeslots,t768,/auth,,373,False,button-namex1;color-contrastx1,page-has-heading-onex1;regionx3,,,1,
anon,/admin,t768,/auth,,373,False,button-namex1;color-contrastx1,page-has-heading-onex1;regionx3,,,1,
anon,/admin/notifications,t768,/auth,,373,False,button-namex1;color-contrastx1,page-has-heading-onex1;regionx3,,,1,
anon,/this-page-does-not-exist,t768,/this-page-does-not-exist,,300,False,button-namex1,page-has-heading-onex1;regionx3,,,1,
anon,/,m390,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1609,False,,image-redundant-altx6;landmark-uniquex2,14,19,11,screenshots/anon/home--m390.jpg
anon,/teams,m390,/teams,Teams,264,False,button-namex3,heading-orderx1;landmark-uniquex1,5,10,1,
anon,/teams/3-amigos,m390,/teams/3-amigos,3 Amigos,358,False,color-contrastx2,landmark-uniquex1,4,5,4,screenshots/anon/teams-3-amigos--m390.jpg
anon,/teams/burning-holes-taking-souls,m390,/teams/burning-holes-taking-souls,Burning Holes & Taking Souls,370,False,color-contrastx2,landmark-uniquex1,4,5,3,
anon,/schedule,m390,/schedule,,299,False,,landmark-uniquex1;page-has-heading-onex1,3,5,15,
anon,/stats,m390,/stats,,1397,False,,landmark-uniquex1;page-has-heading-onex1,3,35,34,
anon,/playoffs,m390,/playoffs,Playoffs,432,False,,heading-orderx1;landmark-uniquex1,3,5,1,
anon,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,m390,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,Playoffs|22a7745e-0a8a-4682-ad0e-e5701c292927,2029,False,image-altx48;scrollable-region-focusablex1,heading-orderx1;landmark-uniquex1,3,5,1,
anon,/history,m390,/history,Season History,3168,False,,heading-orderx1;landmark-uniquex1,3,13,83,screenshots/anon/history--m390.jpg
anon,/message-board,m390,/message-board,Message Board,351,False,,heading-orderx1;landmark-uniquex1,3,5,1,
anon,/compare,m390,/compare,Team Comparison,279,False,button-namex3,landmark-uniquex1,3,4,1,
